Name	Description	Tag Group	Color	Highlights count
tool: reframing		tool	greenblue	2
toolbox		tool	greenblue	3
wicked problem		tool	greenblue	3
"""harm"""		concerns	gray	19
automated hacking		concerns	gray	3
consequences of NOT doing the activity		concerns	gray	12
consequences of the activity	what happens if you do or do not perform The Activity	concerns	gray	9
corporate reputation		concerns	gray	9
harms		concerns	gray	18
information leaks	"The model ""knows"" something (e.g. ""encoded knowledge"") that it shouldn't tell you (like private personal or corporate info) but it's possible to get it tell you anyway"	concerns	gray	10
misuse/abuse		concerns	gray	1
non-truth		concerns	gray	1
offensive output		concerns	gray	13
ominous		concerns	gray	1
press and social media		concerns	gray	6
public perception		concerns	gray	15
questioning harm		concerns	gray	24
racism and sexism		concerns	gray	19
safety		concerns	gray	42
specific harm		concerns	gray	22
threats	discussion of risks of not performing the activity	concerns	gray	1
wrong output		concerns	gray	2
xrisk		concerns	gray	12
oracle		non red teaming model use	yellow	2
prediction		non red teaming model use	yellow	1
success (opposite)		non red teaming model use	yellow	7
use cases		non red teaming model use	yellow	13
use of model		non red teaming model use	yellow	20
use of model: education		non red teaming model use	yellow	3
use of model: establishing vocabulary		non red teaming model use	yellow	2
use of model: game		non red teaming model use	yellow	4
use of model: rubber ducking		non red teaming model use	yellow	3
wisdom of crowds		non red teaming model use	yellow	1
cognition and consciousness		sensemaking	lightblue	6
computers vs model		sensemaking	lightblue	2
conceptual model		sensemaking	lightblue	9
humans vs model	comparison of model and human reactions to the same stimulus	sensemaking	lightblue	41
hyperreality		sensemaking	lightblue	1
locks vs model		sensemaking	lightblue	1
projection		sensemaking	lightblue	1
"""simple tricks generation"""		model perception	red	2
confidence		model perception	red	1
context window	Issues or strategies arising from a finite (too short) context window	model perception	red	5
model behavior	ideas or patterns of general model output (more general than verbatim output, more specific than interpretations of the underlying model)	model perception	red	22
model owner perceptions	references to the model owner and their actions	model perception	red	14
model perception	descriptions of how they believe the model works, how they interpret (interactions with) the model, or expectations of the model	model perception	red	81
parroting		model perception	red	3
secrecy		model perception	red	1
step-by-step reasoning		model perception	red	1
disbelief		personal stuff	gray	1
feelings		personal stuff	gray	4
frustration		personal stuff	gray	2
mindblown		personal stuff	gray	1
personal attitude	personal opinions on how the person relates to the activity	personal stuff	gray	3
surprise		personal stuff	gray	1
